Startup,Industry,Sub Vertical,City,Investors,Investment Type,Investment Amount($),Date
Vistaar Finance,Small Business Financing (NBFC),Unknown,Bengaluru,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,40000000.0,2015-03-09
HiJinny,Beauty & Wellness Services Marketplace,Unknown,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,20770463.751474757,2015-03-09
Clapsnslaps,Online Movie Review Platform,Unknown,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000.0,2015-04-09
Blubox,ECommerce Brands' Full Service Agency,Unknown,Mumbai,Ashish Jhalani,Seed Funding,100000.0,2015-04-09
RoomCentral,Cloud-based Hotel Booking Platform,Unknown,Bengaluru,Karanpal Singh,Seed Funding,2000000.0,2015-04-09
YouthKiAwaaz,Community Driven News/Views Platform,Unknown,Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,600000.0,2015-07-09
Prozo,Study Material Marketplace,Unknown,Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,205000.0,2015-07-09
Zomato,Restaurant Ratings & Reviews platform,Unknown,Gurugram,"Temasek, Vy Capital",Private Equity,60000000.0,2015-07-09
Sahayog Dairy,Dairy Based Product Manufacturer,Unknown,Bhopal,Acumen Fund,Private Equity,1800000.0,2015-07-09
MockBank,Government Test Preparation platform,Unknown,Bengaluru,Blume Ventures,Seed Funding,400000.0,2015-08-09
ReportBee,Smart Report Cards for Schools,Unknown,Chennai,India Educational Investment Fund,Seed Funding,20770463.751474757,2015-08-09
GuruG Learning,Teacher empowerment platform,Unknown,Bengaluru,India Educational Investment Fund,Seed Funding,20770463.751474757,2015-08-09
OnlineTyari,Multilingual Test Preparation Platform,Unknown,Gurugram,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000.0,2015-10-09
IndustryBuying,Industrial Tools Marketplace,Unknown,Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,9200000.0,2015-10-09
The,Non Profit Organization to alleviate poverty,Unknown,Bengaluru,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,315000.0,2015-10-09
FitMeIn,Gym & Fitness Studios Subscription platform,Unknown,Delhi,Green House Ventures,Seed Funding,100000.0,2015-11-09
Envoged,pre-used luxury item Marketplace,Unknown,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,20770463.751474757,2015-11-09
Zapyle,pre-used apparel shopping mobile app,Unknown,Bengaluru,Unknown,Seed Funding,1000000.0,2015-11-09
Renomania,Home Design & Decor platform,Unknown,Delhi,Subodh Gupta,Seed Funding,20770463.751474757,2015-11-09
CredR,Used Vehicles Marketplace,Unknown,Mumbai,Eight Road Ventures,Private Equity,15000000.0,2015-12-09
YatraGenie,Online Bus & Cab ticketing platform,Unknown,Hyderabad,Ash Bhardwaj,Private Equity,20770463.751474757,2015-12-09
CanvasFlip,Mobile App testing platform,Unknown,Hyderabad,Bessemer Venture Partners,Seed Funding,1200000.0,2015-09-14
ShadowFax,Hyperlocal Delivery Services,Unknown,Gurugram,Eight Roads Ventures,Private Equity,9000000.0,2015-09-14
UE LifeSciences,Early Cancer Detection Solutions,Unknown,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,3000000.0,2015-09-14
Ola,Cab rental Mobile app,Unknown,Bengaluru,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,225000000.0,2015-09-14
Coverfox,Online Insurance Distribution Platform,Unknown,Mumbai,Cataraman Ventures,Private Equity,2000000.0,2015-09-15
MoEngage,Mobile Marketing Automation Platform,Unknown,Bengaluru,"Helion Venture Partners, Exfinity Ventures",Private Equity,4250000.0,2015-09-15
Mubble,Prepaid Mobile Bill Manager App,Unknown,Bengaluru,Nandan Nilekani,Seed Funding,20770463.751474757,2015-09-15
Tea Trails,Chain of Tea Cafe's,Unknown,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,1000000.0,2015-09-15
Room On Call,Branded Budget Hotel Marketplace,Unknown,Noida,Payal Syal,Seed Funding,300000.0,2015-09-15
Fyne,Home Fitting & Fixtures Marketplace,Unknown,Bengaluru,Sandeep Dama & Others,Seed Funding,20770463.751474757,2015-09-15
ChaiPoint,Food Subscription platform,Unknown,Bengaluru,Eight Roads Ventures,Private Equity,10000000.0,2015-09-16
WedmeGood,Wedding Planning Platform,Unknown,Gurugram,Indian Angel Network,Seed Funding,410000.0,2015-09-16
Xstok,B2B Mobile Auction Marketplace,Unknown,Mumbai,Oliphans Capital,Seed Funding,450000.0,2015-09-16
UniLog,ECommerce Data Analytics Platform,Unknown,Bengaluru,Kalaari Capital,Private Equity,20770463.751474757,2015-09-17
Paintcollar,Designer Merchandize Marketplace,Unknown,Mumbai,Applyifi,Seed Funding,20770463.751474757,2015-09-17
YepMe,Private label Fashion eTailer,Unknown,Gurugram,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,75000000.0,2015-09-17
Bueno,Online Food ordering & delivery,Unknown,Gurugram,High Networth Individuals (No details),Seed Funding,600000.0,2015-09-17
Plabro,Real Estate Broker Platform App,Unknown,Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,350000.0,2015-09-18
CureJoy,Online Health & Wellness platform,Unknown,Bengaluru,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,1150000.0,2015-09-18
Briston Technomach,Internet of Things platform,Unknown,Delhi,Undisclosed Investors,Seed Funding,150000.0,2015-09-18
LabStreet,Diagnostic Labs aggregator platform,Unknown,Gurugram,Multiple investors,Seed Funding,150000.0,2015-09-18
DailyNinja,Hyperlocal Delivery Platform,Unknown,Bengaluru,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu",Seed Funding,20770463.751474757,2015-09-19
Portea Medical,Home Medical Care Services,Unknown,Bengaluru,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,37500000.0,2015-09-21
Neotrade Analytics,Real-Time stock data platform,Unknown,Bengaluru,Rainmatter,Seed Funding,235000.0,2015-09-21
DishCo,Food discovery & table booking app,Unknown,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,20770463.751474757,2015-09-21
LafaLafa,coupons and cashback aggregator app,Unknown,Mumbai,500 Startups,Seed Funding,125000.0,2015-09-21
ConnectAbank,Financial Products lead generation platform,Unknown,Mumbai,Prakhar Bumb,Seed Funding,20770463.751474757,2015-09-21
VillFarm,Sustainable Agri-inputs Firm,Unknown,Bengaluru,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,20770463.751474757,2015-09-22
Bestdealfinance,Financial Services Portal,Unknown,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,3000000.0,2015-09-22
GameXS,Pre-owned games Marketplace,Unknown,Delhi,Lead Angels,Seed Funding,20770463.751474757,2015-09-22
The Man Company,Content-based Subscription eCommerce platform,Unknown,Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,20770463.751474757,2015-09-22
Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",Unknown,Bengaluru,Swarnim Multiventures,Private Equity,800000.0,2015-09-22
Furdo,Online Interior Designing platform,Unknown,Bengaluru,Bhavdeep Reddy,Seed Funding,400000.0,2015-09-22
LogiNext,End-to-end Logistics platform,Unknown,Mumbai,Paytm,Private Equity,10000000.0,2015-09-22
Korra,Private Label Apparel sales,Unknown,Delhi,Asha Jadeja Motwani & Others,Seed Funding,300000.0,2015-09-22
Credihealth,Healthcare Consulting platform,Unknown,Gurugram,Rajat Malhotra,Seed Funding,20770463.751474757,2015-09-23
Amigobulls,Stock Market Portal,Unknown,Bengaluru,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,20770463.751474757,2015-09-23
SilverPush,Cross-device retargeting platform,Unknown,Gurgaon / SFO,M&S Partners,Private Equity,1200000.0,2015-09-23
Juggernaut,Digital & Physical Publishing platform,Unknown,Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,2250000.0,2015-09-23
InnerChef,Food Delivery Platform,Unknown,Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,1750000.0,2015-09-23
Quintype,Data Driven Publishing platform,Unknown,Bengaluru,Raghav Bahl,Private Equity,3300000.0,2015-09-24
Capabiliti,Employee OnBoarding & Orientation platform,Unknown,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,400000.0,2015-09-24
Fourth Partner Energy,Solar Power Solutions company,Unknown,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,2000000.0,2015-09-24
Licious,Online Meat Ordering platform,Unknown,Bengaluru,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,1000000.0,2015-09-24
TravelKhana,online meal-booking platform for train travelers,Unknown,Delhi,Astarc Ventures & Others,Seed Funding,20770463.751474757,2015-09-25
Quickli,hyperlocal delivery platform,Unknown,Delhi,"500 Startups, Mato Peric & Others",Seed Funding,20770463.751474757,2015-09-28
Ola,Cab Booking app platform,Unknown,Bengaluru,Didi Kuaidi,Private Equity,30000000.0,2015-09-28
Paytm,E-Commerce & M-Commerce platform,Unknown,Delhi,"Alibaba Group, Ant Financial",Private Equity,680000000.0,2015-09-29
InMobi,Mobile Advertising platform,Unknown,Bengaluru,Tennenbaum Capital Partners & Others,Private Equity,100000000.0,2015-09-29
PepperTap,Hyperlocal Grocery Delivery,Unknown,Gurugram,"Sequoia India, SAIF Partners.",Private Equity,36000000.0,2015-09-29
Hugefly,Ecommerce Product recommendation platform,Unknown,Pune,Mayank Singhal and others,Seed Funding,20770463.751474757,2015-09-29
Brigge,Activity Based Social Network,Unknown,Chennai,The Chennai Angels,Seed Funding,20770463.751474757,2015-09-29
Zakoopi,Fashion Discovery platform,Unknown,Delhi,Uniqorn Ventures,Seed Funding,350000.0,2015-09-29
LoanCircle,Consumer lending marketplace,Unknown,Bengaluru,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,20770463.751474757,2015-09-29
Infoworks,Big Data Management Platform,Unknown,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,5000000.0,2015-09-30
RedDoorz,Budget Accommodation Platform,Unknown,Noida,Jungle Ventures,Seed Funding,1000000.0,2015-09-30
FirstTouch,Local Mobile OS,Unknown,Gurugram,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,20770463.751474757,2015-09-30
Eywa Media,Digital Signal processing platform,Unknown,Bengaluru,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,1000000.0,2015-09-30
Snapdeal,Ecommerce Marketplace,Unknown,Delhi,"Alibaba, Foxconn, Softbank",Private Equity,500000000.0,2015-01-08
Ressy,Restaurant Discount app,Unknown,Pune,Mohandas Pai & others,Seed Funding,400000.0,2015-01-08
Cuelearn,Tech-enabled learning,Unknown,Delhi,Alok Mittal,Seed Funding,20770463.751474757,2015-03-08
Connect India,ECommerce Logistics provider,Unknown,Delhi,Aavishkaar,Private Equity,5000000.0,2015-03-08
The Home Salon,on-demand home beauty and wellness portal,Unknown,Mumbai,VentureNursery,Seed Funding,20770463.751474757,2015-03-08
Jusride,Self Driven Car rental,Unknown,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,20770463.751474757,2015-03-08
OYO Rooms,Budget Hotel accommodation brand,Unknown,Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India",Private Equity,100000000.0,2015-03-08
Glowship,Energy & Environment Online Marketplace,Unknown,Bengaluru,Infuse Ventures,Seed Funding,20770463.751474757,2015-03-08
Wizrocket,User Engagement & Analytics Platform,Unknown,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,9600000.0,2015-03-08
Pickingo,On-Demand Delivery Logistics,Unknown,Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,1300000.0,2015-04-08
Grex,fund raising platform for startups,Unknown,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,650000.0,2015-05-08
LetsTransport,Logistics Tech Platform,Unknown,Bengaluru,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,1300000.0,2015-05-08
Zo Rooms,Online budget hotel chain,Unknown,Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,30000000.0,2015-05-08
Doormint,Hyperlocal Handyman services,Unknown,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,3000000.0,2015-05-08
NightStay,hotel booking app,Unknown,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,500000.0,2015-05-08
Zocalo,Rental Accommodation Finder,Unknown,Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,20770463.751474757,2015-05-08
Sunday Realty Solutions,Tech Platform for property brokers,Unknown,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,785000.0,2015-05-08
Klozee,Luxury Apparel rental,Unknown,Bengaluru,Tracxn Labs,Seed Funding,20770463.751474757,2015-06-08
Appvigil,App security testing platform,Unknown,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,500000.0,2015-06-08
Practo,Doctor Appointment booking app,Unknown,Bengaluru,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,90000000.0,2015-06-08
LoudShout,anonymous bulletin board app,Unknown,Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,20770463.751474757,2015-06-08
Wetravelsolo,Travel community platform,Unknown,Delhi,"CCube Angels, Frontline Strategy",Seed Funding,20770463.751474757,2015-06-08
Ketto,Crowd funding platform,Unknown,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,700000.0,2015-06-08
Ezetap,Mobile based PoS solution,Unknown,Bengaluru,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,25000000.0,2015-06-08
NDTV ecommerce venture,Car & Bike ecommerce platform,Unknown,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,20770463.751474757,2015-06-08
Carls Jr,Fast food Chain Franchisee,Unknown,Gurugram,YouWeCan Ventures,Seed Funding,630000.0,2015-07-08
EasyRewardz,Loyalty Programs & Reward Points,Unknown,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,500000.0,2015-07-08
Gibss,Energy saving solutions provider,Unknown,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,20770463.751474757,2015-07-08
StoreMore,Self-Storage Spaces,Unknown,Noida,Bedrock Ventures,Seed Funding,20770463.751474757,2015-07-08
iOrderFresh,Grocery retail Mobile app,Unknown,Delhi,Best Foodworks,Seed Funding,20770463.751474757,2015-07-08
MyTaxiIndia,Taxi Rental platform,Unknown,Gurugram,Nihon Kotsu,Private Equity,500000.0,2015-10-08
eSadar,E-commerce,Unknown,Delhi,"Neha Vats, Gaurav Vats",Seed Funding,80000.0,2015-10-08
Actionable Analytics,Machine Learning Platform,Unknown,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,20770463.751474757,2015-10-08
MyPoolin,mobile social network,Unknown,Delhi,QPrize from Qualcomm Ventures,Seed Funding,250000.0,2015-10-08
NearBuy,Hyper-Local Ecommerce,Unknown,Delhi,Sequoia Capital,Private Equity,16000000.0,2015-10-08
InkMonk,Online printing marketplace,Unknown,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,250000.0,2015-10-08
ToneTag,mobile payment software platform,Unknown,Bengaluru,Reliance Capital Venture,Private Equity,1000000.0,2015-10-08
Grey Orange,Automated Storage & Warehousing Solution,Unknown,Gurugram,Tiger Global Management,Private Equity,30000000.0,2015-10-08
LivSpace,Home Design & Decor solutions,Unknown,Bengaluru,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,8000000.0,2015-11-08
Wow! Momo,Quick Service Restaurant Chain,Unknown,Kolkata,Indian Angel Network,Seed Funding,1600000.0,2015-11-08
RainCan,Subscription based Online Grocery platform,Unknown,Pune,Ajeet Khurana & Others,Seed Funding,100000.0,2015-11-08
Allygrow Technologies,engineering services company,Unknown,Mumbai,Zodius Technology Fund,Private Equity,20000000.0,2015-11-08
Infogain,Business and IT consulting,Unknown,New Delhi / US,ChrysCapital,Private Equity,63000000.0,2015-11-08
OneAssist,Credit Card Fraud protection solutions,Unknown,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,7500000.0,2015-12-08
BigBasket,Online & mobile Grocery store,Unknown,Bengaluru,Bessemer Venture Partners,Private Equity,50000000.0,2015-12-08
Sheroes,Career Community for Women,Unknown,Noida,"Quintillion Media, 500 Startups",Seed Funding,770000.0,2015-12-08
Scripbox,Mutual Fund Investing platform,Unknown,Bengaluru,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,2500000.0,2015-12-08
Etaout,Ecommerce Marketing Software Platform,Unknown,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &' Group of other Angel investors",Seed Funding,500000.0,2015-08-13
IFMR Holdings,Financial Inclusion platform,Unknown,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,25000000.0,2015-08-13
Massblurb,Digital Marketing automation solution,Unknown,Mumbai,"LetsVenture, Mumbai Angels",Seed Funding,20770463.751474757,2015-08-13
Agrostar,Mobile Commerce for Farmers,Unknown,Pune,IDG Ventures,Private Equity,4000000.0,2015-08-13
VoxWeb,Picture based Social App,Unknown,Mumbai,Jitendra Gupta & others,Seed Funding,100000.0,2015-08-14
Trukky,Logistics service platform,Unknown,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,245000.0,2015-08-14
VanityCube,On-Demand Beauty Services,Unknown,Delhi,Group of angel investors,Seed Funding,20770463.751474757,2015-08-14
Edu4Share,Exam Preparation Platform,Unknown,Delhi,Nalin Jain & other angel investors,Seed Funding,220000.0,2015-08-17
YourStory,Startup Focused Online Publisher,Unknown,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",Seed Funding,3000000.0,2015-08-17
Sampurnearth,Waste Management Solutions,Unknown,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,160000.0,2015-08-17
Orobind,App based Fitness coaching,Unknown,Bengaluru,Existing & New Investors,Private Equity,200000.0,2015-08-17
Fixy,On demand cleaning & fixing services,Unknown,Mumbai,VentureNursery,Seed Funding,20770463.751474757,2015-08-17
MSM Box,Beauty & Lifestyle platform,Unknown,Delhi,Rohit Goel,Seed Funding,20770463.751474757,2015-08-17
ShadowFax,on-demand delivery service,Unknown,Gurugram,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,310000.0,2015-08-17
Gadgets 360,Car & Bike ecommerce platform,Unknown,Delhi,One97 Communications,Private Equity,20770463.751474757,2015-08-17
Roposo,Fashion Discovery platform,Unknown,Gurugram,Tiger Global,Private Equity,15000000.0,2015-08-18
IntelligenceNODE,Data Analytics Platform,Unknown,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,4200000.0,2015-08-18
HyperVerge,Deep Learning Cloud Algorithms,Unknown,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,1000000.0,2015-08-18
Twyst,Location based engagement & rewards platform,Unknown,Gurugram,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",Seed Funding,20770463.751474757,2015-08-18
IDfy,Online Identity Verification Services platform,Unknown,Mumbai,"NEA, Blume Ventures & others",Private Equity,20770463.751474757,2015-08-18
Zoojoo.be,Corporate Wellness App,Unknown,Bengaluru,RoundGlass Partners,Private Equity,1000000.0,2015-08-18
Fashionove,Fashion Search & Review Platform,Unknown,Kolkata,Umesh Yadav,Seed Funding,20770463.751474757,2015-08-19
TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",Unknown,Mumbai,Unilazer Ventures,Private Equity,2400000.0,2015-08-19
Envoged,pre-owned Luxury online apparel seller,Unknown,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar",Seed Funding,20770463.751474757,2015-08-19
MebelKart,Online Furniture Marketplace,Unknown,Bengaluru,AskMe,Private Equity,20000000.0,2015-08-19
LabsAdvisor,Online Diagnostic Tests Marketplace,Unknown,Delhi,Group of Angel Investors,Seed Funding,156000.0,2015-08-20
Flatpebble,Online marketplace for Photographers,Unknown,Hyderabad,Indian Angel Network,Seed Funding,600000.0,2015-08-20
Bluegape,Visual Blogging platform,Unknown,Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,600000.0,2015-08-20
ePoise,Job Search Platform,Unknown,Bengaluru,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,500000.0,2015-08-21
Jolly Food Fellow,Food Customer analytics platform,Unknown,Ahmedabad,The 1947,Seed Funding,300000.0,2015-08-24
BookMeIn,Professional Service Appointment booking service,Unknown,Mumbai,Ajmera Group of Companies,Seed Funding,400000.0,2015-08-24
iZofy,Scientific Horoscope Online Assistance platform,Unknown,Kolkata,Prime Capital Markets Ltd,Seed Funding,20770463.751474757,2015-08-24
rBus,Tech enabled AC bus service,Unknown,Mumbai,"India Quotient, Anupam Mittal & others",Seed Funding,20770463.751474757,2015-08-24
Qyk App,On-Demand App based Professional service provider,Unknown,Bengaluru,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,1000000.0,2015-08-25
EazyDiner,Restaurant Reservation Platform,Unknown,Gurugram,"DSG Consumer Partners, Saama Capital",Private Equity,3000000.0,2015-08-25
RevX,Cross-channel CRM platform,Unknown,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,4000000.0,2015-08-25
ICustomMadeIt,Professional Custom creators Marketplace,Unknown,Pune,Group of Angel Investors,Seed Funding,250000.0,2015-08-25
PickMyLaundry,on-Demand Washing & Dry-Cleaning,Unknown,Delhi,GHV Accelerator,Seed Funding,100000.0,2015-08-26
Belita,On-Demand Beauty Service,Unknown,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding,400000.0,2015-08-26
EzySolare,solar products and services marketplace,Unknown,Ahmedabad,Infuse Ventures,Seed Funding,20770463.751474757,2015-08-26
FoodTalkIndia,Online Food Community Platform,Unknown,Gurugram,Undisclosed Investors,Seed Funding,500000.0,2015-08-26
InstaSafe,Private Cloud Networks SAAS platform,Unknown,Bengaluru,Group of Investors,Seed Funding,2200000.0,2015-08-27
Eazy Coach,Education Marketplace,Unknown,Kolkata,Ravi Agarwal,Seed Funding,20770463.751474757,2015-08-27
Djubo,Cloud Based Hotel Sales Platform,Unknown,Delhi,Ibibo Group,Private Equity,20770463.751474757,2015-08-27
BetterButter,online recipe sharing platform,Unknown,Delhi,"Growx Ventures, Manish Singhal",Seed Funding,20770463.751474757,2015-08-28
Vyomo,Beauty & Lifestyle Mobile Marketplace,Unknown,Bengaluru,Rocket Internet,Private Equity,2000000.0,2015-08-28
RollMafia,QSR Restaurant Chain,Unknown,Pune,Equentia Natural Resources,Seed Funding,160000.0,2015-08-28
Iamwire,Digital Media publishing platform,Unknown,Gurugram,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",Seed Funding,20770463.751474757,2015-08-29
DropKaffe,Online Coffee Delivery platform,Unknown,Bengaluru,"Manish Singhal, P39 Capital & Others",Seed Funding,300000.0,2015-08-31
Reverie,Language Localization Cloud platform,Unknown,Bengaluru,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,4000000.0,2015-08-31
Infinite Analytics,Big Data & predictive Analysis Platform,Unknown,Mumbai,"Ratan Tata, Nikhil Vora & others",Private Equity,20770463.751474757,2015-08-31
Parcelled,Online Logistics Platform,Unknown,Bengaluru,"Delhivery, Tracxn Labs",Seed Funding,5000000.0,2015-01-07
Retigence Technologies,Business IT Intelligence Services,Unknown,Mumbai,Omnivore Partners,Private Equity,20770463.751474757,2015-01-07
Cloudcherry Analytics,CRM / Analytics platform,Unknown,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,1000000.0,2015-01-07
HandyHome,Hyperlocal Electronics repair Service,Unknown,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,630000.0,2015-01-07
iDreamCareer,EdTech,Unknown,Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,20770463.751474757,2015-01-07
Ola,Cab rental Mobile app,Unknown,Bengaluru,Ratan Tata,Private Equity,95671428.57142857,2015-01-07
NxtGen,IT infrastructure & Data Center services,Unknown,Bengaluru,"IFC, Axon Partners, Intel Capital",Private Equity,13500000.0,2015-01-07
BankBazaar,Online Financial Services,Unknown,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,60000000.0,2015-02-07
Gozoomo,Used Car Marketplace,Unknown,Bengaluru,SAIF Partners,Private Equity,5000000.0,2015-02-07
Zenatix,Internet of Things platform,Unknown,Gurugram,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,161000.0,2015-02-07
CultureAlley,Language Learning App,Unknown,Jaipur,Tiger Global,Private Equity,6500000.0,2015-03-07
Goqii,Mobile Fitness Marketplace,Unknown,Mumbai,Vijay Shekhar Sharma,Private Equity,20770463.751474757,2015-03-07
Gingercrush,Custom Merchandize platform,Unknown,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,1000000.0,2015-03-07
Elanic,P2P Pre-owned goods marketplace,Unknown,Bengaluru,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,20770463.751474757,2015-04-07
StitchWood,Custom Furniture Marketplace,Unknown,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,395000.0,2015-04-07
Urban Tailor,Online Tailoring Services,Unknown,Bengaluru,Group of angel investors,Seed Funding,20770463.751474757,2015-05-07
ConfirmtTkt,Rail Ticket Confirmation predictor,Unknown,Bengaluru,Pravin Agarwala & others,Seed Funding,20770463.751474757,2015-06-07
Paper Boat,Ethnic Beverages manufacturer,Unknown,Gurugram,"Sofina, Hillhouse Capital",Private Equity,30000000.0,2015-06-07
getNow,Hyperlocal Goods marketplace,Unknown,Nagpur,Atulya Mittal,Seed Funding,20770463.751474757,2015-06-07
Wudstay,Budget Accommodation aggregator,Unknown,Gurugram,"Mangroves Capital Partners, Vikas Saxena",Private Equity,3000000.0,2015-07-07
Liases Foras,Real Estate Rating & Analysis,Unknown,Delhi,DMG information Asia Pacific,Private Equity,5000000.0,2015-07-07
Eatlo,Food Delivery platform,Unknown,Bengaluru,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,20770463.751474757,2015-07-07
IndiaLends,FinTech,Unknown,Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity,1000000.0,2015-07-07
Quinto,Food Discovery App,Unknown,Pune,Jaydeep Barman,Seed Funding,20770463.751474757,2015-08-07
